title,price
Subnautica 2,Rp 350 999
Forza Horizon 6,Rp 899 000
Counter-Strike 2,Free
PUBG: BATTLEGROUNDS,Free
OverwatchÂ®,Free
Apex Legendsâ„˘,Free
Battlefieldâ„˘ 6,Rp 799 000
Season 3 Battlefield Pro - Battlefieldâ„˘ 6 and REDSEC,Rp 289 000
Red Dead Redemption 2,Rp 219 750
DiabloÂ® IV,Rp 446 400
Subnautica,Rp 87 749
Heroes of Might and Magic: Olden Era,Rp 224 999
Devil May Cry 5,Rp 58 350
Gamble With Your Friends,Rp 74 000
Warframe,Free
Palia,Free
The Seven Deadly Sins: Origin,Free
Dota 2,Free
Subnautica: Below Zero,Rp 87 749
NBA 2K26,Rp 111 860
ARC Raiders,Rp 479 000
Far Far West,Rp 136 999
Windrose,Rp 245 999
War Thunder,Free
Battlefieldâ„˘ REDSEC,Free
Directive 8020,Rp 583 000
Crimson Desert,Rp 799 000
Conan Exiles Enhanced,Rp 187 499
Grand Theft Auto V Enhanced,Rp 439 000
Outbound,Rp 179 100
Nine Sols,Rp 98 399
Delta Force,Free
Dead as Disco,Rp 171 999
LEGOÂ® Batmanâ„˘: Legacy of the Dark Knight,Rp 1 149 000
Marvel Rivals,Free
Dead by Daylight,Rp 219 890
Tom Clancy's Rainbow Six Siege,Free
Hell is Us,Rp 180 000
Slay the Spire 2,Rp 211 000
Everything is Crab: The Animal Evolution Roguelite,Rp 81 899
Where Winds Meet,Free
Wuthering Waves,Free
Kingdom Come: Deliverance II,Rp 427 500
Fallout 76,Rp 532 000
VRChat,Free
Cities: Skylines II,Rp 394 799
Librarian: Tidy Up the Arcane Library!,Rp 49 724
Rust,Rp 329 000
PRAGMATA,Rp 779 000
Call of DutyÂ®: Black Ops III,Rp 294 030
